path,label
processed_frames\real\id0_0000\frame_0.jpg,0
processed_frames\real\id0_0000\frame_10.jpg,0
processed_frames\real\id0_0000\frame_100.jpg,0
processed_frames\real\id0_0000\frame_110.jpg,0
processed_frames\real\id0_0000\frame_120.jpg,0
processed_frames\real\id0_0000\frame_130.jpg,0
processed_frames\real\id0_0000\frame_140.jpg,0
processed_frames\real\id0_0000\frame_150.jpg,0
processed_frames\real\id0_0000\frame_160.jpg,0
processed_frames\real\id0_0000\frame_170.jpg,0
processed_frames\real\id0_0000\frame_180.jpg,0
processed_frames\real\id0_0000\frame_190.jpg,0
processed_frames\real\id0_0000\frame_20.jpg,0
processed_frames\real\id0_0000\frame_200.jpg,0
processed_frames\real\id0_0000\frame_210.jpg,0
processed_frames\real\id0_0000\frame_220.jpg,0
processed_frames\real\id0_0000\frame_230.jpg,0
processed_frames\real\id0_0000\frame_240.jpg,0
processed_frames\real\id0_0000\frame_250.jpg,0
processed_frames\real\id0_0000\frame_260.jpg,0
processed_frames\real\id0_0000\frame_270.jpg,0
processed_frames\real\id0_0000\frame_280.jpg,0
processed_frames\real\id0_0000\frame_290.jpg,0
processed_frames\real\id0_0000\frame_30.jpg,0
processed_frames\real\id0_0000\frame_300.jpg,0
processed_frames\real\id0_0000\frame_310.jpg,0
processed_frames\real\id0_0000\frame_320.jpg,0
processed_frames\real\id0_0000\frame_330.jpg,0
processed_frames\real\id0_0000\frame_340.jpg,0
processed_frames\real\id0_0000\frame_350.jpg,0
processed_frames\real\id0_0000\frame_360.jpg,0
processed_frames\real\id0_0000\frame_370.jpg,0
processed_frames\real\id0_0000\frame_380.jpg,0
processed_frames\real\id0_0000\frame_390.jpg,0
processed_frames\real\id0_0000\frame_40.jpg,0
processed_frames\real\id0_0000\frame_400.jpg,0
processed_frames\real\id0_0000\frame_410.jpg,0
processed_frames\real\id0_0000\frame_420.jpg,0
processed_frames\real\id0_0000\frame_430.jpg,0
processed_frames\real\id0_0000\frame_440.jpg,0
processed_frames\real\id0_0000\frame_450.jpg,0
processed_frames\real\id0_0000\frame_460.jpg,0
processed_frames\real\id0_0000\frame_50.jpg,0
processed_frames\real\id0_0000\frame_60.jpg,0
processed_frames\real\id0_0000\frame_70.jpg,0
processed_frames\real\id0_0000\frame_80.jpg,0
processed_frames\real\id0_0000\frame_90.jpg,0
processed_frames\real\id0_0001\frame_0.jpg,0
processed_frames\real\id0_0001\frame_10.jpg,0
processed_frames\real\id0_0001\frame_100.jpg,0
processed_frames\real\id0_0001\frame_110.jpg,0
processed_frames\real\id0_0001\frame_120.jpg,0
processed_frames\real\id0_0001\frame_130.jpg,0
processed_frames\real\id0_0001\frame_140.jpg,0
processed_frames\real\id0_0001\frame_150.jpg,0
processed_frames\real\id0_0001\frame_160.jpg,0
processed_frames\real\id0_0001\frame_170.jpg,0
